Name 1,Name 2,Spanish Description,French Description,German Description,Italian Description,Portuguese Description,Russian Description,Chinese Description,Japanese Description,Arabic Description,Hindi Description
Kanye West,Kim Kardashian,Una pareja tan caótica como genial 💥🎬,Un chaos chic et un amour tumultueux 💥🖤,Kreatives Chaos trifft auf Modemogul 💥🖤,Dramma di coppia con stile di alta moda 💥🖤,Caos fashion com pitadas de genialidade 💥🖤,Хаос и стиль под одной крышей 💥🖤,潮流碰撞的混乱爱情 💥🖤,カオスと美の融合 💥🖤,حب فوضوي مع لمسة فنية 💥🖤,हंगामा और फैशन का तड़का 💥🖤
Brad Pitt,Angelina Jolie,Érase una vez... mucho drama y belleza 🎞️🔥,Il était une fois... des larmes et des tapis rouges 🎬🔥,Ein Märchen mit roten Teppichen und Rosenkrieg 🎞️🔥,Una favola con finali multipli 🎞️🔥,Um conto de fadas com reviravoltas 🎞️🔥,Сказка с продолжением... и скандалом 🎞️🔥,童话开始，狗血结尾 🎞️🔥,おとぎ話から修羅場へ 🎞️🔥,حكاية خرافية انتهت بعاصفة 🎞️🔥,परियों की कहानी से तलाक तक 🎞️🔥
Elon Musk,Grimes,"Tecnología, bebés y tweets raros 🤖👶","Des bébés, des fusées, et des tweets bizarres 🚀👶",Raketenwissenschaft und Babygeschrei 👶🚀,"Missili, musica e misteri 👶🚀","Foguetes, bebês e mistério 👶🚀","Ракеты, дети и твиты из космоса 👶🚀",火箭、婴儿与科技梦 👶🚀,ロケット、赤ちゃん、そして混乱 👶🚀,صواريخ، أطفال، وتغريدات غريبة 👶🚀,"रॉकेट, बच्चे और अजीब ट्वीट्स 👶🚀"
Shakira,Gerard Pique,Cuando el ritmo supera al romance 💃⚽,Quand le rythme dépasse la romance 💃⚽,"Bewegung auf dem Feld, Stillstand im Herz 💃⚽",Un gol mancato nell’amore 💃⚽,"Muito ritmo, pouco romance 💃⚽","Больше дриблинга, меньше чувств 💃⚽",节奏在线，感情离线 💃⚽,リズムは完璧、感情は欠けてる 💃⚽,الرقص في القلوب، والمشاعر غائبة 💃⚽,"डांस में टॉप, फीलिंग्स में फ्लॉप 💃⚽"
MrBeast,PewDiePie,El multiverso de YouTube en una pareja 💸📦,YouTube en mode fusion 🔥📦,YouTube-Könige vereint 💸📦,YouTube ha trovato la sua power couple 💸📦,O multiverso do YouTube unificado 💸📦,Объединение YouTube-легенд 💸📦,YouTube宇宙大合体 💸📦,YouTube界の夢のコラボ 💸📦,أساطير يوتيوب في تحالف واحد 💸📦,YouTube का अल्टीमेट कोलैब 💸📦
SpongeBob,Patrick,"Amistad submarina, burbujas y risas 🧽💖",Amis aquatiques pour toujours 🧽💛,Unterwasser-Bromance fürs Leben 🧽💛,Un'amicizia che puzza di risate 🧽💛,Amizade submarina e risadas eternas 🧽💛,Губка + морская звезда = вечная дружба 🧽💛,海底兄弟情深 🧽💛,海底のブロマンス 🧽💛,صداقة أعماق البحار 🧽💛,समुंदर की गहराई से दोस्ती 🧽💛
Elon Musk,Mark Zuckerberg,El duelo de los millonarios tech más raros 🤖🥊,Les nerds milliardaires au combat 🤖🥊,Tech-Titanen im Cage Fight 🥊🤖,Tech-geni che litigano con meme 🤖🥊,Bilionários em guerra de memes 🤖🥊,Бой миллиардеров в метавселенной 🤖🥊,亿万富翁的元宇宙对决 🤖🥊,テック界のケンカップル 🤖🥊,مليارديرات يتشاجرون بالميمز 🤖🥊,"टेक्नोलॉजी में जंग, मस्ती में प्यार 🤖🥊"
Batman,Joker,El romance más oscuro de Gotham 🦇🃏,Gotham est en feu... de passion 🔥🦇,Liebesdrama in Gotham 🦇❤️‍🔥,Gotham ha visto di tutto... anche questo 🦇❤️‍🔥,Gotham não estava preparado para isso 🦇❤️‍🔥,Готэмская страсть на пределе 🦇❤️‍🔥,黑暗骑士的心动反派 🦇❤️‍🔥,ゴッサムの禁断ラブ 🦇❤️‍🔥,رومانسية قاتمة في جوثام 🦇❤️‍🔥,गॉथम की सबसे अजीब प्रेम कहानी 🦇❤️‍🔥
Shrek,Fiona,Un cuento de hadas con muchas capas 🧅💚,Un conte de fées à couches multiples 🧅💚,"Ein Märchen mit vielen, vielen Schichten 🧅💚","Una fiaba a strati, proprio come una cipolla 🧅💚","Um amor com camadas, igual cebola 🧅💚",Сказка с луком (и слоями) 🧅💚,洋葱一样的爱情故事 🧅💚,層が深すぎる恋愛物語 🧅💚,قصة حب بطبقات... مثل البصل 🧅💚,प्याज जैसी परतों वाला प्यार 🧅💚
Salt Bae,Steak,Un amor sazonado y bien cocido 🧂🥩,"Un amour bien salé, bien saignant 🧂🥩",Liebe auf den ersten Biss 🧂🥩,Una storia d’amore ben condita 🧂🥩,Uma paixão bem temperada 🧂🥩,Любовь со специями 🧂🥩,撒点盐，加点爱 🧂🥩,塩加減も愛も完璧 🧂🥩,قصة مشبعة بالملح والحب 🧂🥩,"नमक, स्वाद और इश्क़ 🧂🥩"
Logan Paul,KSI,Cuando el boxeo y el ego se enamoran 🥊💥,"Boxe, buzz et ego XXL 🥊📸",Boxhandschuhe und Ego-Kracher 🥊🔥,Colpi forti e cuori fragili 🥊💥,Nocaute no ringue e no coração 🥊💥,Нокаут в ринге и в любви 🥊💥,拳击场的情敌 🥊💥,リングでも心でもぶつかる 🥊💥,ضربة قاضية في القلب 🥊💥,"रिंग में भी भिड़ंत, दिल में भी 🥊💥"
Andrew Tate,Greta Thunberg,Feminismo vs machismo: batalla de titanes ♀️🔥♂️,Quand l'activisme clash le machisme ♀️🛑♂️,Feminismus trifft Machismo – Boom 💥♀️♂️,Quando ideologie opposte si scontrano 💢♀️♂️,Feminismo vs. machismo: round 1 💢♀️♂️,Феминизм против мачо. Раунд первый 💢♀️♂️,女权大战猛男 💢♀️♂️,フェミvsマッチョ、恋の戦争 💢♀️♂️,نسوية × ذكورية = صراع الحب 💢♀️♂️,नारीशक्ति बनाम माचो पावर 💢♀️♂️
Salt Bae,Gordon Ramsay,Un duelo culinario de alto voltaje 🔥🍳,Une guerre des fourchettes 🔥🍴,Kochen mit extra Zündstoff 🔥🍳,Una battaglia da chef stellati 🔥🍳,Batalha de chefs com fogo real 🔥🍳,Кулинарная битва года 🔥🍳,厨神之战，火力全开 🔥🍳,キッチンの火花は止まらない 🔥🍳,مواجهة طهات تُشعل المطبخ 🔥🍳,"शेफ्स की तकरार, आग का तड़का 🔥🍳"
Big Shaq,The Ting Goes Skrrra,Explosión de sonidos y cero sentido 🔊🧠,"Du son, du feu, et zéro logique 🎶💥","Der Beat ist wild, der Sinn egal 🔊🤯","Rumore, ritmo e puro nonsense 🎶🤪","Barulho, ritmo e nenhuma lógica 🎶🤪","Громко, абсурдно, но весело 🎶🤪",节奏炸裂，逻辑下线 🎶🤪,音とノイズと無意味の愛 🎶🤪,إيقاع صاخب بلا منطق 🎶🤪,बेसुरा लेकिन जोश से भरा 🎶🤪
Doge,Cheems,Woof y wow en formato meme 🐶😂,Un amour tout en mèmes et en museaux 🐶😂,Meme-Liebe auf vier Pfoten 🐶😂,Meme d’amore a quattro zampe 🐶😂,Meme de amor em formato pet 🐶😂,Мемная любовь на четырех лапах 🐶😂,狗狗之间的纯真之爱 🐶😂,ミーム界最かわカップル 🐶😂,حب بين أشهر وجوه الميم 🐶😂,मेमे वर्ल्ड की सबसे प्यारी जोड़ी 🐶😂
Rick Astley,Never Gonna Give You Up,Un amor que nunca te va a abandonar 🎶🚫,Jamais abandonné... sauf émotionnellement 🎶🚫💔,Er wird dich niemals verlassen… außer emotional 🎶💔,Lui non ti lascerà mai... o forse sì 🎶🚫,Ele nunca vai te abandonar... talvez 🎶🚫,Он никогда тебя не покинет... может быть 🎶🚫,他不会离开你...也许 🎶🚫,決して君を離さない…かも 🎶🚫,لن يتركك أبدًا... أو ربما 🎶🚫,वो कभी तुम्हें छोड़ नहीं देगा... शायद 🎶🚫
Grumpy Cat,Nyan Cat,"Garras, arcoíris y caos adorable 🐱🌈",Ronchon + Arc-en-ciel = chaos mignon 🐱🌈,Grantig + bunt = Internet-Chaos 🐱🌈,"Gattini, arcobaleni e puro caos 🐱🌈",Gatos mal-humorados + arco-íris = caos 🐱🌈,Кошачий гнев и радуги 🐱🌈,不爽+彩虹=网络暴击 🐱🌈,ブサカワ＆虹でカオス発生 🐱🌈,قطة غاضبة + قوس قزح = فوضى 🐱🌈,गुस्से वाली बिल्ली और इंद्रधनुष 🐱🌈
The Rock,Kevin Hart,Más músculos que una comedia puede aguantar 💪🎭,"Des muscles, du fun et des punchlines 💪🎭",Bizeps & Witze – Hollywoods stärkstes Duo 💪🎭,"Muscoli, battute e bromance 💪🎭",Músculos e piadas em dupla 💪🎭,"Бицепсы, юмор и идеальный тандем 💪🎭",肌肉+搞笑双杀 💪🎭,筋肉とギャグの最強コンビ 💪🎭,قوة وضحك في باقة واحدة 💪🎭,मसल्स और ह्यूमर की बॉम्ब जोड़ी 💪🎭
Ross Geller,Rachel Green,"La pareja que definió el 'te amo, pero te odio' 📺❤️😡","Le couple « je t’aime, moi non plus » 📺❤️😡",Die legendäre On-Off-Serie der 90er 📺❤️😡,La relazione più tira e molla della TV 📺❤️😡,O vai-e-volta mais famoso da TV 📺❤️😡,Главная драма нулевых 📺❤️😡,电视剧史上最反复无常的恋爱 📺❤️😡,名作ドラマの恋の波 📺❤️😡,أكبر علاقة تشغيل-إيقاف في التاريخ 📺❤️😡,टीवी की सबसे ऑन-ऑफ लव स्टोरी 📺❤️😡
Mario,Princess Peach,Saltando obstáculos y corazones desde 1985 🍄💘,Un saut dans le cœur de la princesse 🍄💘,Ein Sprung ins Abenteuer (und ins Herz) 🍄💘,Un salvataggio e un bacio in ogni livello 🍄💘,"Saltos, cogumelos e beijos 🍄💘","Прыжки, монеты и любовь 🍄💘",跳跃、金币、真爱 🍄💘,ステージクリアで愛ゲット 🍄💘,قفزات، عملات، وقُبل 🍄💘,"कूदो, सिक्के लो, मोहब्बत पाओ 🍄💘"
Jack,Rose,Un romance que ni el iceberg pudo hundir 🚢💔,Un amour glacé mais inoubliable 🚢💔,"Liebe, Eisberge und ein sinkendes Herz 🚢💔",Amore affondato ma leggendario 🚢💔,Amor que nem o Titanic afundou 🚢💔,"Любовь, которую не потопил даже Титаник 🚢💔",爱情沉没不了 🚢💔,タイタニックでも沈まぬ愛 🚢💔,حتى التيتانيك لم يغرق هذا الحب 🚢💔,टाइटैनिक भी इस प्यार को नहीं डुबा सका 🚢💔
Jon Snow,Daenerys Targaryen,"Fuego y hielo, amor y dragones 🐉❄️","Dragons, trahisons et baisers brûlants 🐉❄️",Eis + Feuer = heißes Fantasy-Drama 🐉❄️,"Draghi, passione e un trono di bugie 🐉❄️","Dragões, amor e traições épicas 🐉❄️","Драконы, страсть и холодные сердца 🐉❄️",冰火之恋，够味 🐉❄️,氷と炎のラブストーリー 🐉❄️,حب ناري وجليدي 🐉❄️,आग और बर्फ का इश्क़ 🐉❄️
Katniss Everdeen,Peeta Mellark,Una chispa de revolución y pan 🍞🔥,Rébellion et romance à la flèche 🍞🔥,Rebellion mit Beilage Herzschmerz 🍞🔥,Rivolta e romanticismo con l’arco 🍞🔥,Revolução com um toque de romance 🍞🔥,Восстание с любовным подтекстом 🍞🔥,弓箭里的革命爱 🍞🔥,革命と愛が交差する 🍞🔥,تمرد ورومانسية تحت الضغط 🍞🔥,क्रांति और रोमांस का तीर 🍞🔥
Tony Stark,Pepper Potts,Amor con armadura de alta tecnología 🧲❤️,Un cœur de fer pour une flamme fidèle 💘🔧,Iron Man mit Herzschrittmacher 💘🔩,"Cuore di ferro, amore d’oro 💘🛠️","Homem de ferro, coração de ouro 💘🛠️",Железный человек с сердцем 💘🛠️,钢铁心，真爱魂 💘🛠️,アイアンハートな恋 💘🛠️,رجل من حديد، قلب من ذهب 💘🛠️,आयरन मैन का गोल्डन दिल 💘🛠️
Han Solo,Princess Leia,Una galaxia llena de amor y sarcasmo 🌌💘,Un amour intergalactique rempli de répliques cinglantes 🌌💋,Galaktische Liebe mit scharfen Kontern 🌌💋,Un amore spaziale con battute incluse 🌌💋,Um amor nas estrelas com boas tiradas 🌌💋,Любовь сквозь гиперпространство 🌌💋,星际情缘+嘴炮 🌌💋,銀河を超えた口ゲンカカップル 🌌💋,رومانسية بين النجوم والردود الساخنة 🌌💋,तारों के बीच तकरार वाला प्यार 🌌💋
Homer Simpson,Marge Simpson,"Donas, caos y amor nuclear 🍩💛","Des donuts, de l’amour et beaucoup de chaos 🍩💛",Donuts + Chaos = Simpsons-Romantik 🍩💛,"Donuts, birra e affetto radioattivo 🍩💛","Donuts, caos e muito amor 🍩💛","Пончики, пиво и семейная идиллия 🍩💛",甜甜圈和放射性宠爱 🍩💛,ドーナツと核家族の愛 🍩💛,بيت، دونات، والكثير من الفوضى 🍩💛,डोनट्स और ड्रामा वाला रिश्ता 🍩💛
Link,Zelda,Una conexión que rompe jarrones 💔🗡️,Un lien aussi légendaire que leur quête 🗡️💚,Hyrule’s Power Couple 🗡️💚,Amore leggendario in modalità fantasy 🗡️💚,Um elo lendário de fantasia 🗡️💚,Легендарная связь героев 🗡️💚,勇者与公主的羁绊 🗡️💚,伝説のヒーローカップル 🗡️💚,رابط أسطوري في عالم الخيال 🗡️💚,पौराणिक प्रेम कहानी 🗡️💚
Master Chief,Cortana,"Códigos, guerra y sentimientos virtuales 💻🛡️",Une IA avec un crush numérique 💻❤️,Digitale Sehnsucht im Rüstungsmodus 💻🛡️,IA e cuore umano: combo inaspettata 💻❤️,Amor digital em nível máximo 💻❤️,Цифровая страсть в доспехах 💻❤️,人工智能的深情一瞥 💻❤️,AIと兵士のデジタルラブ 💻❤️,حب رقمّي وسط المعركة 💻❤️,AI और सोल्जर का डिजिटल रोमांस 💻❤️
Kratos,Atreus,Paternidad nivel dios de la guerra 🪓❤️,Papa ours et fils en pleine rage mythologique 🪓🔥,Papa-Sohn-Bonding mit göttlicher Wut 🪓🔥,Papà e figlio in modalità furia divina 🪓🔥,Paternidade com raiva divina 🪓🔥,Папа и сын на грани мифа 🪓🔥,狂怒之父和迷惘之子 🪓🔥,神話級の親子関係 🪓🔥,أب وابن في ملحمة غضب 🪓🔥,भगवान बाप और गुस्से वाले बेटे की केमिस्ट्री 🪓🔥
Ellie,Dina,Zombis y besos en el apocalipsis 🧟‍♀️💋,Apocalypse + bisous = combo gagnant 🧟‍♀️💋,Küsse im Schatten der Apokalypse 🧟‍♀️💋,Baci in mezzo all’apocalisse 🧟‍♀️💋,Beijos no fim do mundo 🧟‍♀️💋,Поцелуи на фоне зомби-апокалипсиса 🧟‍♀️💋,末日中的柔情一吻 🧟‍♀️💋,ゾンビの中のキス 🧟‍♀️💋,قبلة نهاية العالم 🧟‍♀️💋,ज़ोंबी के बीच एक मीठा चुंबन 🧟‍♀️💋
Joker,Harley Quinn,"Amor criminal, literalmente 🔫💋",Folie amoureuse en mode criminel 🔫💋,Bonnie und Clyde im Comicstil 🔫💋,Crimine e passione da fumetto 🔫💋,Amor explosivo e criminoso 🔫💋,Преступная любовь с макияжем 🔫💋,疯子爱小丑 🔫💋,クレイジー＆セクシー 🔫💋,حب مجنون حرفياً 🔫💋,पागलपन में बसी मोहब्बत 🔫💋
Goku,Vegeta,"Combate, respeto y energía pura 🔥👊","Rivalité musclée, respect profond 👊🔥","Kraft, Respekt und Saiyan-Vibes 👊🔥","Forza, onore e rivalità epica 👊🔥","Força, rivalidade e respeito 👊🔥","Сила, уважение и эпичный поединок 👊🔥",最强对手，最真兄弟 👊🔥,激突しつつも通じ合う 👊🔥,خصمان بشرف وحب غير معلن 👊🔥,"ताकतवर दुश्मन, दिल से दोस्त 👊🔥"
Ash Ketchum,Misty,Pokéamor a lo clásico ⚡💕,Attrape-cœur confirmé ⚡❤️,Pokémon + Gefühle = Kindheitsliebe ⚡💘,Cuccioli e cuori in viaggio ⚡💘,Pokéromance que marcou gerações ⚡💘,"Пикачу знает, что это любовь ⚡💘",童年爱恋，电力十足 ⚡💘,ピカチュウが祝福してる⚡💘,بيكاتشو يبارك هذا الحب ⚡💘,"बचपन का प्यार, Pokémon वाला ⚡💘"
Sherlock Holmes,Dr Watson,"Detectives con química, no solo lógica 🕵️‍♂️❤️","Énigmes, logique et passion british 🕵️‍♂️💡",Logik trifft auf Liebeskrimi 🕵️‍♂️❤️,Genio e passione nel mondo del mistero 🕵️‍♂️❤️,Mistério e química britânica 🕵️‍♂️❤️,Интеллект + химия = британская страсть 🕵️‍♂️❤️,侦探搭档，心也连着 🕵️‍♂️❤️,名探偵同士の心の絆 🕵️‍♂️❤️,ذكاء وتحقيق وقلب ينبض 🕵️‍♂️❤️,जासूसी में भी दिल की बात 🕵️‍♂️❤️
Shaggy,Velma,Sandwiches y teorías conspirativas 🥪🕵️‍♂️,Un duo qui résout les crimes (et les cœurs) 🥪🔍,Snack und Spürsinn im Liebesmodus 🥪🔍,Scooby Snack e sospetti romantici 🥪🔍,Lanches e suspeitas românticas 🥪🔍,Закуски и расследования 🥪🔍,零食与嫌疑人 🥪🔍,サンドイッチとスパイごっこ 🥪🔍,شطائر وتحقيقات رومانسية 🥪🔍,स्नैक्स और सस्पेंस का लव कॉम्बो 🥪🔍
Mario,Luigi,Hermanos fontaneros unidos por la aventura 🔧❤️,Frères pour sauver la princesse et le Wi-Fi 🔧👬,"Brüder, die das Abenteuer meistern 🔧👬",Fratelli uniti da tubi e principesse 🔧👬,Irmãos encanadores em missão de resgate 🔧👬,Братья сантехники и миссия сердца 🔧👬,兄弟打怪救公主 🔧👬,配管兄弟の恋と冒険 🔧👬,أبطال المواسير في مهمة حب 🔧👬,प्लंबर भाइयों की रेस्क्यू लव स्टोरी 🔧👬
Phineas,Ferb,Una mente y media... con inventos locos 🧠🔩,"Un cerveau, une frite et beaucoup de génie 🧠⚡",Genie + Wahnsinn = Disney-Bromance 🧠💡,Genio creativo con tanto cuore 🧠💡,Criatividade e amizade animada 🧠💡,"Гений, веселье и много изобретений 🧠💡",发明+友情=动画经典 🧠💡,発明×友情＝感動アニメ 🧠💡,إبداع وصداقة لا تُنسى 🧠💡,"दिमाग, दोस्ती और कार्टून मैजिक 🧠💡"
Voldemort,Harry Potter,El odio más mágico de todos los tiempos 🪄😈❤️,Haine magique et tension légendaire 🧙‍♂️💥,Zauberhafte Feindschaft deluxe 🧙‍♂️⚡,Magia nera e tensione eterna 🧙‍♂️⚡,"Inimigos mágicos, tensão real 🧙‍♂️⚡",Волшебная ненависть высшего уровня 🧙‍♂️⚡,魔法界最毒CP 🧙‍♂️⚡,魔法界の禁断の愛 🧙‍♂️⚡,كراهية سحرية... وفيها مشاعر؟ 🧙‍♂️⚡,जादुई नफरत... जिसमें प्यार भी है? 🧙‍♂️⚡
Dumbledore,Grindelwald,Magia prohibida y un pasado compartido 🧙‍♂️🔥,Une magie aussi sombre que leur passé ✨🔥,"Dunkle Magie, helles Herz? Vielleicht 🔮🔥","Maghi, ricordi e amori oscuri 🔮🔥",Magia sombria com passado intenso 🔮🔥,Темная магия и светлые чувства 🔮🔥,禁忌魔法与旧爱 🔮🔥,昔の火花が今も燃える 🔮🔥,قوى مظلمة... وماضٍ مؤلم 🔮🔥,"पुरानी दोस्ती, गहरे राज़ 🔮🔥"
Gandalf,Saruman,"Cuando los bastones brillan, también los sentimientos ✨🧙‍♂️",Un glow-up épique à coups de bâtons magiques ✨🧙‍♂️,Stäbe hoch für diese epische Bromance ✨🧙‍♂️,Una saga di barbuti e potere ✨🧙‍♂️,"Barbas, feitiços e poder ✨🧙‍♂️","Посохи, эпичность и седые бороды ✨🧙‍♂️",法杖碰撞，友情重燃 ✨🧙‍♂️,杖バトルで再燃する友情 ✨🧙‍♂️,عصيّ سحرية وذكريات متأججة ✨🧙‍♂️,"डंडों की लड़ाई, दिलों की कहानी ✨🧙‍♂️"
Frodo,Sam,Un viaje al corazón del anillo 💍👣,Un lien précieux... et très poilu 💍👣,"Ein Ring, zwei Seelen, viele Emotionen 💍👣",Un viaggio lungo e romantico fino a Mordor 💍👣,Uma jornada épica de amizade 💍👣,Дружба и любовь до Мордора и обратно 💍👣,友情满级，直达魔多 💍👣,モルドールまで友情フルパワー 💍👣,صداقة تضيء الطريق إلى موردور 💍👣,मॉर्डोर तक की दोस्ती 💍👣
Geralt,Yennefer,"Espadas, monstruos y deseo 💘⚔️","Monstres, potions et une sorcière canon ⚔️💋","Monster, Magie und heiße Nächte ⚔️🔥","Mostri, pozioni e passione ⚔️❤️","Magia, monstros e beijos 🔥⚔️","Монстры, заклинания и поцелуи ⚔️🔥",怪物猎人也谈恋爱 ⚔️🔥,魔物も倒すけど、キスもする ⚔️🔥,وحوش وعواطف وجاذبية ⚔️🔥,मॉन्स्टर शिकार और रोमांस ⚔️🔥
Wanda Maximoff,Vision,"Magia roja, amor con visión futura 🔮💔",Pouvoir cosmique et amour tragique 🔮💔,Superkraft trifft auf Superherz 🔮💔,Visioni d’amore (e distruzione) 💔🔮,Amor visionário e trágico 💔🔮,Видения любви и трагедии 💔🔮,幻觉里的真情 💔🔮,未来視と悲恋のはざま 💔🔮,حب في عوالم الرؤية والقدر 💔🔮,भविष्य और दिल का कनेक्शन 💔🔮
Loki,Thor,"Hermandad caótica, estilo nórdico ⚡😈",Un amour fraternel aussi chaotique que mythique ⚡😈,"Brüderlich, göttlich, total chaotisch ⚡😈","Fratelli, caos e magia nordica ⚡😈",Irmãos de trovão e confusão ⚡😈,"Братья, гром и хаос ⚡😈",北欧混乱兄弟情 ⚡😈,神の兄弟が暴走中 ⚡😈,أخوة إلهية × فوضى أسطورية ⚡😈,थंडर ब्रदर्स की ब्लास्टिंग केमिस्ट्री ⚡😈
Hermione,Ron,Biblioteca + escándalo escolar = OTP 📚🔥,Livres ouverts et jalousie discrète 📚💘,Hauspunkte für Liebe 📚💘,Un amore tra i banchi e le bacchette 📚💘,"Livros, magia e primeiro amor 📚💘",Любовь из библиотеки Хогвартса 📚💘,书呆子的校园初恋 📚💘,図書館ラブ、ハーマイオニー編 📚💘,حب في قاعة الدراسة وقاعة السحر 📚💘,लाइब्रेरी लव और जादू 📚💘
Batman,Superman,"Choques de capas, con amor incluido 🦇❤️🦸",Capes croisées et cœurs divisés 🦸‍♂️❤️🦇,Cape-Overload mit emotionaler Ladung 🦸‍♂️🦇❤️,"Capes, conflitti e cuori divisi 🦇🦸❤️","Capas, brigas e dilemas morais 🦇🦸❤️","Капы, битвы и дилеммы 🦇🦸❤️",披风英雄的心动时刻 🦇🦸❤️,ヒーロー同士の複雑な関係 🦇🦸❤️,صراع الأبطال والعواطف 🦇🦸❤️,"हीरोज़ की लड़ाई, प्यार के लिए 🦇🦸❤️"
